time_ms,voltage_mv
342.2,-50.473788731190744
342.3,-50.42155049196248
342.40000000000003,-50.3695727920393
342.5,-50.31785433197601
342.6,-50.26639381880841
342.7,-50.215189966020986
342.8,-50.164241493514744
342.90000000000003,-50.11354712757524
343.0,-50.063105600840665
343.1,-50.01291565227024
343.2,-65.0
343.3,-65.0
343.40000000000003,-65.0
343.5,-65.0
343.6,-65.0
343.7,-65.0
343.8,-65.0
343.90000000000003,-65.0
344.0,-65.0
344.1,-65.0
344.2,-65.0
344.3,-65.0
344.40000000000003,-65.0
344.5,-65.0
344.6,-65.0
344.7,-65.0
344.8,-65.0
344.90000000000003,-65.0
345.0,-65.0
345.1,-65.0
345.2,-64.87531197981706
345.3,-64.75124584372918
345.40000000000003,-64.62779849007654
345.5,-64.50496683266887
345.6,-64.38274780070829
345.7,-64.2611383387127
345.8,-64.14013540643914
345.90000000000003,-64.01973597880806
346.0,-63.89993704582747
346.1,-63.780735612517816
346.2,-63.66212869883705
346.3,-63.54411333960616
346.40000000000003,-63.42668658443504
346.5,-63.309845497648645
346.6,-63.19358715821377
346.7,-63.07790865966584
346.8,-62.96280711003638
346.90000000000003,-62.848279631780635
347.0,-62.7343233617057
347.1,-62.620935450898905
347.2,-62.50811306465656
347.3,-62.39585338241312
347.40000000000003,-62.284153597670695
347.5,-62.17301091792885
347.6,-62.0624225646148
347.7,-61.952385773013944
347.8,-61.84289779220077
347.90000000000003,-61.73395588497005
348.0,-61.62555732776844
348.1,-61.517699410626356
348.2,-61.41037943709025
348.3,-61.30359472415519
348.40000000000003,-61.1973426021978
348.5,-61.09162041490949
348.6,-60.98642551923008
348.7,-60.881755285281706
348.8,-60.77760709630304
348.90000000000003,-60.673978348583965
349.0,-60.57086645140036
349.1,-60.46826882694944
349.2,-60.36618291028526
349.3,-60.26460614925457
349.40000000000003,-60.16353600443307
349.5,-60.06296994906186
349.6,-59.96290546898432
349.7,-59.86334006258324
349.8,-59.76427124071828
349.90000000000003,-59.66569652666372
350.0,-59.567613456046594
350.1,-59.470019576785006
350.2,-59.372912449026906
350.3,-59.27628964508904
350.4,-59.180148749396274
350.5,-59.084487358421214
350.6,-58.9893030806241
350.7,-58.89459353639302
350.8,-58.80035635798445
350.9,-58.70658918946402
351.0,-58.61328968664762
351.1,-58.520455517042826
351.2,-58.428084359790574
351.3,-58.33617390560711
351.4,-58.2447218567263
351.5,-58.15372592684216
351.6,-58.06318384105168
351.7,-57.97309333579803
351.8,-57.883452158813874
351.9,-57.794258069065116
352.0,-57.70550883669487
352.1,-57.6172022429677
352.2,-57.52933608021417
352.3,-57.44190815177564
352.4,-57.354916271949335
352.5,-57.26835826593373
352.6,-57.18223196977417
352.7,-57.09653523030876
352.8,-57.011265905114556
352.9,-56.92642186245398
353.00000000000006,-56.84200098122155
353.1,-56.75800115089084
353.2,-56.67442027146171
353.3,-56.59125625340784
353.4,-56.50850701762443
353.50000000000006,-56.42617049537627
353.6,-56.34424462824603
353.7,-56.262727368082764
353.8,-56.18161667695071
353.9,-56.10091052707838
354.00000000000006,-56.02060690080781
354.1,-55.94070379054418
354.2,-55.86119919870555
354.3,-55.78209113767299
354.4,-55.70337762974087
354.50000000000006,-55.625056707067365
354.6,-55.54712641162535
354.7,-55.46958479515336
354.8,-55.39242991910697
354.9,-55.315659854610246
355.00000000000006,-55.239272682407574
355.1,-55.16326649281568
355.2,-55.08763938567585
355.3,-55.01238947030649
355.4,-54.937514865455775
355.50000000000006,-54.863013699254694
355.6,-54.78888410917022
355.7,-54.71512424195872
355.8,-54.641732253619686
355.9,-54.56870630934958
356.00000000000006,-54.496044583496
356.1,-54.42374525951201
356.2,-54.35180652991074
356.3,-54.28022659622021
356.4,-54.20900366893835
356.50000000000006,-54.13813596748827
356.6,-54.067621720173726
356.7,-53.99745916413488
356.8,-53.92764654530418
356.9,-53.85818211836251
357.00000000000006,-53.789064146695566
357.1,-53.720290902350484
357.2,-53.65186066599255
357.3,-53.58377172686232
357.4,-53.516022382732736
357.50000000000006,-53.44861093986668
357.6,-53.381535712974575
357.7,-53.31479502517225
357.8,-53.24838720793903
357.9,-53.18231060107603
358.00000000000006,-53.116563552664644
358.1,-53.05114441902522
358.2,-52.98605156467602
358.3,-52.9212833622923
358.4,-52.85683819266561
358.50000000000006,-52.79271444466338
358.6,-52.728910515188545
358.7,-52.66542480913956
358.8,-52.602255739370456
358.9,-52.5394017266512
359.00000000000006,-52.47686119962822
359.1,-52.414632594785054
359.2,-52.35271435640336
359.3,-52.29110493652394
359.4,-52.2298027949081
359.50000000000006,-52.1688063989991
359.6,-52.108114223883874
359.7,-52.04772475225487
359.8,-51.98763647437216
359.9,-51.927847888025674
360.00000000000006,-51.86835749849762
360.1,-51.80916381852518
360.2,-51.75026536826326
360.3,-51.69166067524754
360.4,-51.633348274357644
360.50000000000006,-51.57532670778051
360.6,-51.51759452497395
360.7,-51.460150282630394
360.8,-51.40299254464078
360.9,-51.3461198820587
361.00000000000006,-51.28953087306461
361.1,-51.233224102930336
361.2,-51.17719816398371
361.3,-51.121451655573324
361.4,-51.06598318403357
361.50000000000006,-51.01079136264977
361.6,-50.95587481162352
361.7,-50.90123215803818
361.8,-50.84686203582456
361.9,-50.792763085726776
362.00000000000006,-50.73893395526826
362.1,-50.68537329871794
362.2,-50.63207977705663
362.3,-50.57905205794349
362.4,-50.526288815682804
362.50000000000006,-50.473788731190744
362.6,-50.42155049196248
362.7,-50.3695727920393
362.8,-50.31785433197601
362.9,-50.26639381880841
363.00000000000006,-50.215189966020986
363.1,-50.164241493514744
363.2,-50.11354712757524
363.3,-50.063105600840665
363.4,-50.01291565227024
363.5,-65.0
363.6,-65.0
363.7,-65.0
363.8,-65.0
363.9,-65.0
364.0,-65.0
364.1,-65.0
364.2,-65.0
364.3,-65.0
364.4,-65.0
364.5,-65.0
364.6,-65.0
364.7,-65.0
364.8,-65.0
364.9,-65.0
365.0,-65.0
365.1,-65.0
365.2,-65.0
365.3,-65.0
365.4,-65.0
365.5,-64.87531197981706
365.6,-64.75124584372918
365.70000000000005,-64.62779849007654
365.8,-64.50496683266887
365.9,-64.38274780070829
366.0,-64.2611383387127
366.1,-64.14013540643914
366.20000000000005,-64.01973597880806
366.3,-63.89993704582747
366.4,-63.780735612517816
366.5,-63.66212869883705
366.6,-63.54411333960616
366.70000000000005,-63.42668658443504
366.8,-63.309845497648645
366.9,-63.19358715821377
367.0,-63.07790865966584
367.1,-62.96280711003638
367.20000000000005,-62.848279631780635
367.3,-62.7343233617057
367.4,-62.620935450898905
367.5,-62.50811306465656
367.6,-62.39585338241312
367.70000000000005,-62.284153597670695
367.8,-62.17301091792885
367.9,-62.0624225646148
368.0,-61.952385773013944
368.1,-61.84289779220077
368.20000000000005,-61.73395588497005
368.3,-61.62555732776844
368.4,-61.517699410626356
368.5,-61.41037943709025
368.6,-61.30359472415519
368.70000000000005,-61.1973426021978
368.8,-61.09162041490949
368.9,-60.98642551923008
369.0,-60.881755285281706
369.1,-60.77760709630304
369.20000000000005,-60.673978348583965
369.3,-60.57086645140036
369.4,-60.46826882694944
369.5,-60.36618291028526
369.6,-60.26460614925457
369.70000000000005,-60.16353600443307
369.8,-60.06296994906186
369.9,-59.96290546898432
370.0,-59.86334006258324
370.1,-59.76427124071828
370.20000000000005,-59.66569652666372
370.3,-59.567613456046594
370.4,-59.470019576785006
370.5,-59.372912449026906
370.6,-59.27628964508904
370.70000000000005,-59.180148749396274
370.8,-59.084487358421214
370.9,-58.9893030806241
371.0,-58.89459353639302
371.1,-58.80035635798445
371.20000000000005,-58.70658918946402
371.3,-58.61328968664762
371.4,-58.520455517042826
371.5,-58.428084359790574
371.6,-58.33617390560711
371.70000000000005,-58.2447218567263
371.8,-58.15372592684216
371.9,-58.06318384105168
372.0,-57.97309333579803
372.1,-57.883452158813874
372.20000000000005,-57.794258069065116
372.3,-57.70550883669487
372.4,-57.6172022429677
372.5,-57.52933608021417
372.6,-57.44190815177564
372.70000000000005,-57.354916271949335
372.8,-57.26835826593373
372.9,-57.18223196977417
373.0,-57.09653523030876
373.1,-57.011265905114556
373.20000000000005,-56.92642186245398
373.3,-56.84200098122155
373.4,-56.75800115089084
373.5,-56.67442027146171
373.6,-56.59125625340784
373.70000000000005,-56.50850701762443
373.8,-56.42617049537627
373.9,-56.34424462824603
374.0,-56.262727368082764
374.1,-56.18161667695071
374.20000000000005,-56.10091052707838
374.3,-56.02060690080781
374.4,-55.94070379054418
374.5,-55.86119919870555
374.6,-55.78209113767299
374.70000000000005,-55.70337762974087
374.8,-55.625056707067365
374.9,-55.54712641162535
375.0,-55.46958479515336
375.1,-55.39242991910697
375.20000000000005,-55.315659854610246
375.3,-55.239272682407574
375.4,-55.16326649281568
375.5,-55.08763938567585
375.6,-55.01238947030649
375.70000000000005,-54.937514865455775
375.8,-54.863013699254694
375.9,-54.78888410917022
376.0,-54.71512424195872
376.1,-54.641732253619686
376.20000000000005,-54.56870630934958
376.3,-54.496044583496
376.4,-54.42374525951201
376.5,-54.35180652991074
376.59999999999997,-54.28022659622021
376.70000000000005,-54.20900366893835
376.8,-54.13813596748827
376.9,-54.067621720173726
377.0,-53.99745916413488
377.09999999999997,-53.92764654530418
377.20000000000005,-53.85818211836251
377.3,-53.789064146695566
377.4,-53.720290902350484
377.5,-53.65186066599255
377.59999999999997,-53.58377172686232
377.70000000000005,-53.516022382732736
377.8,-53.44861093986668
377.90000000000003,-53.381535712974575
378.0,-53.31479502517225
378.09999999999997,-53.24838720793903
378.20000000000005,-53.18231060107603
378.3,-53.116563552664644
378.40000000000003,-53.05114441902522
378.5,-52.98605156467602
378.59999999999997,-52.9212833622923
378.70000000000005,-52.85683819266561
378.8,-52.79271444466338
378.90000000000003,-52.728910515188545
379.0,-52.66542480913956
379.09999999999997,-52.602255739370456
379.20000000000005,-52.5394017266512
379.3,-52.47686119962822
379.40000000000003,-52.414632594785054
379.5,-52.35271435640336
379.59999999999997,-52.29110493652394
379.70000000000005,-52.2298027949081
379.8,-52.1688063989991
379.90000000000003,-52.108114223883874
380.0,-52.04772475225487
380.09999999999997,-51.98763647437216
380.20000000000005,-51.927847888025674
380.3,-51.86835749849762
380.40000000000003,-51.80916381852518
380.5,-51.75026536826326
380.59999999999997,-51.69166067524754
380.70000000000005,-51.633348274357644
380.8,-51.57532670778051
380.90000000000003,-51.51759452497395
381.0,-51.460150282630394
381.09999999999997,-51.40299254464078
381.20000000000005,-51.3461198820587
381.3,-51.28953087306461
381.40000000000003,-51.233224102930336
381.5,-51.17719816398371
381.59999999999997,-51.121451655573324
381.70000000000005,-51.06598318403357
381.8,-51.01079136264977
381.90000000000003,-50.95587481162352
382.0,-50.90123215803818
382.09999999999997,-50.84686203582456
382.20000000000005,-50.792763085726776
382.3,-50.73893395526826
382.40000000000003,-50.68537329871794
382.5,-50.63207977705663
382.59999999999997,-50.57905205794349
382.70000000000005,-50.526288815682804
382.8,-50.473788731190744
382.90000000000003,-50.42155049196248
383.0,-50.3695727920393
383.09999999999997,-50.31785433197601
383.20000000000005,-50.26639381880841
383.3,-50.215189966020986
383.40000000000003,-50.164241493514744
383.5,-50.11354712757524
383.59999999999997,-50.063105600840665
383.70000000000005,-50.01291565227024
383.8,-65.0
383.90000000000003,-65.0
384.0,-65.0
384.09999999999997,-65.0
384.20000000000005,-65.0
384.3,-65.0
384.40000000000003,-65.0
384.5,-65.0
384.59999999999997,-65.0
384.70000000000005,-65.0
384.8,-65.0
384.90000000000003,-65.0
385.0,-65.0
385.09999999999997,-65.0
385.20000000000005,-65.0
385.3,-65.0
385.40000000000003,-65.0
385.5,-65.0
385.59999999999997,-65.0
385.70000000000005,-65.0
385.8,-64.87531197981706
385.90000000000003,-64.75124584372918
386.0,-64.62779849007654
386.09999999999997,-64.50496683266887
386.20000000000005,-64.38274780070829
386.3,-64.2611383387127
386.40000000000003,-64.14013540643914
386.5,-64.01973597880806
386.59999999999997,-63.89993704582747
386.70000000000005,-63.780735612517816
386.8,-63.66212869883705
386.90000000000003,-63.54411333960616
387.0,-63.42668658443504
387.09999999999997,-63.309845497648645
387.20000000000005,-63.19358715821377
387.3,-63.07790865966584
387.40000000000003,-62.96280711003638
387.5,-62.848279631780635
387.59999999999997,-62.7343233617057
387.70000000000005,-62.620935450898905
387.8,-62.50811306465656
387.90000000000003,-62.39585338241312
388.0,-62.284153597670695
388.09999999999997,-62.17301091792885
388.20000000000005,-62.0624225646148
388.3,-61.952385773013944
388.40000000000003,-61.84289779220077
388.5,-61.73395588497005
388.59999999999997,-61.62555732776844
388.70000000000005,-61.517699410626356
388.8,-61.41037943709025
388.90000000000003,-61.30359472415519
389.0,-61.1973426021978
389.09999999999997,-61.09162041490949
389.20000000000005,-60.98642551923008
389.3,-60.881755285281706
389.40000000000003,-60.77760709630304
389.5,-60.673978348583965
389.59999999999997,-60.57086645140036
389.70000000000005,-60.46826882694944
389.8,-60.36618291028526
389.90000000000003,-60.26460614925457
390.0,-60.16353600443307
390.09999999999997,-60.06296994906186
390.2,-59.96290546898432
390.3,-59.86334006258324
390.40000000000003,-59.76427124071828
390.5,-59.66569652666372
390.6,-59.567613456046594
390.7,-59.470019576785006
390.8,-59.372912449026906
390.90000000000003,-59.27628964508904
391.0,-59.180148749396274
391.1,-59.084487358421214
391.2,-58.9893030806241
391.3,-58.89459353639302
391.40000000000003,-58.80035635798445
391.5,-58.70658918946402
391.6,-58.61328968664762
391.7,-58.520455517042826
391.8,-58.428084359790574
391.90000000000003,-58.33617390560711
392.0,-58.2447218567263
392.1,-58.15372592684216
392.2,-58.06318384105168
392.3,-57.97309333579803
392.40000000000003,-57.883452158813874
392.5,-57.794258069065116
392.6,-57.70550883669487
392.7,-57.6172022429677
392.8,-57.52933608021417
392.90000000000003,-57.44190815177564
393.0,-57.354916271949335
393.1,-57.26835826593373
393.2,-57.18223196977417
393.3,-57.09653523030876
393.40000000000003,-57.011265905114556
393.5,-56.92642186245398
393.6,-56.84200098122155
393.7,-56.75800115089084
393.8,-56.67442027146171
393.90000000000003,-56.59125625340784
394.0,-56.50850701762443
394.1,-56.42617049537627
394.2,-56.34424462824603
394.3,-56.262727368082764
394.40000000000003,-56.18161667695071
394.5,-56.10091052707838
394.6,-56.02060690080781
394.7,-55.94070379054418
394.8,-55.86119919870555
394.90000000000003,-55.78209113767299
395.0,-55.70337762974087
395.1,-55.625056707067365
395.2,-55.54712641162535
395.3,-55.46958479515336
395.40000000000003,-55.39242991910697
395.5,-55.315659854610246
395.6,-55.239272682407574
395.7,-55.16326649281568
395.8,-55.08763938567585
395.90000000000003,-55.01238947030649
396.0,-54.937514865455775
396.1,-54.863013699254694
396.2,-54.78888410917022
396.3,-54.71512424195872
396.40000000000003,-54.641732253619686
396.5,-54.56870630934958
396.6,-54.496044583496
396.7,-54.42374525951201
396.8,-54.35180652991074
396.90000000000003,-54.28022659622021
397.0,-54.20900366893835
397.1,-54.13813596748827
397.2,-54.067621720173726
397.3,-53.99745916413488
397.40000000000003,-53.92764654530418
397.5,-53.85818211836251
397.6,-53.789064146695566
397.7,-53.720290902350484
397.8,-53.65186066599255
397.90000000000003,-53.58377172686232
398.0,-53.516022382732736
398.1,-53.44861093986668
398.2,-53.381535712974575
398.3,-53.31479502517225
398.40000000000003,-53.24838720793903
398.5,-53.18231060107603
398.6,-53.116563552664644
398.7,-53.05114441902522
398.8,-52.98605156467602
398.90000000000003,-52.9212833622923
399.0,-52.85683819266561
399.1,-52.79271444466338
399.2,-52.728910515188545
399.3,-52.66542480913956
399.40000000000003,-52.602255739370456
399.5,-52.5394017266512
399.6,-52.47686119962822
399.7,-52.414632594785054
399.8,-52.35271435640336
399.90000000000003,-52.29110493652394
400.0,-52.2298027949081
400.1,-52.1688063989991
400.2,-52.108114223883874
400.3,-52.04772475225487
400.40000000000003,-51.98763647437216
400.5,-51.927847888025674
400.6,-51.86835749849762
400.7,-51.80916381852518
400.8,-51.75026536826326
400.90000000000003,-51.69166067524754
401.0,-51.633348274357644
401.1,-51.57532670778051
401.2,-51.51759452497395
401.3,-51.460150282630394
401.40000000000003,-51.40299254464078
401.5,-51.3461198820587
401.6,-51.28953087306461
401.7,-51.233224102930336
401.8,-51.17719816398371
401.90000000000003,-51.121451655573324
402.0,-51.06598318403357
402.1,-51.01079136264977
402.2,-50.95587481162352
402.3,-50.90123215803818
402.40000000000003,-50.84686203582456
402.5,-50.792763085726776
402.6,-50.73893395526826
402.7,-50.68537329871794
402.8,-50.63207977705663
402.90000000000003,-50.57905205794349
403.0,-50.526288815682804
403.1,-50.473788731190744
403.2,-50.42155049196248
403.3,-50.3695727920393
403.40000000000003,-50.31785433197601
403.5,-50.26639381880841
403.6,-50.215189966020986
403.7,-50.164241493514744
403.8,-50.11354712757524
403.90000000000003,-50.063105600840665
404.0,-50.01291565227024
404.1,-65.0
404.2,-65.0
404.3,-65.0
404.40000000000003,-65.0
404.5,-65.0
404.6,-65.0
404.7,-65.0
404.8,-65.0
404.90000000000003,-65.0
405.0,-65.0
405.1,-65.0
405.2,-65.0
405.3,-65.0
405.40000000000003,-65.0
405.5,-65.0
405.6,-65.0
405.7,-65.0
405.8,-65.0
405.90000000000003,-65.0
406.0,-65.0
406.1,-64.87531197981706
406.2,-64.75124584372918
406.3,-64.62779849007654
406.40000000000003,-64.50496683266887
406.5,-64.38274780070829
406.6,-64.2611383387127
406.7,-64.14013540643914
406.8,-64.01973597880806
406.90000000000003,-63.89993704582747
407.0,-63.780735612517816
407.1,-63.66212869883705
407.2,-63.54411333960616
407.3,-63.42668658443504
407.40000000000003,-63.309845497648645
407.5,-63.19358715821377
407.6,-63.07790865966584
407.7,-62.96280711003638
407.8,-62.848279631780635
407.90000000000003,-62.7343233617057
408.0,-62.620935450898905
408.1,-62.50811306465656
408.2,-62.39585338241312
408.3,-62.284153597670695
408.40000000000003,-62.17301091792885
408.5,-62.0624225646148
408.6,-61.952385773013944
408.7,-61.84289779220077
408.8,-61.73395588497005
408.90000000000003,-61.62555732776844
409.0,-61.517699410626356
409.1,-61.41037943709025
409.2,-61.30359472415519
409.3,-61.1973426021978
409.40000000000003,-61.09162041490949
409.5,-60.98642551923008
409.6,-60.881755285281706
409.7,-60.77760709630304
409.8,-60.673978348583965
409.90000000000003,-60.57086645140036
410.0,-60.46826882694944
410.1,-60.36618291028526
410.2,-60.26460614925457
410.3,-60.16353600443307
410.40000000000003,-60.06296994906186
410.5,-59.96290546898432
410.6,-59.86334006258324
410.7,-59.76427124071828
410.8,-59.66569652666372
410.90000000000003,-59.567613456046594
411.0,-59.470019576785006
